会計年度,組織団体ｺｰﾄﾞ,組織団体略称名,会計区分,会計区分名,収支区分,科目ｺｰﾄﾞ,科目名,予算額, 4月分, 5月分, 6月分, 7月分, 8月分, 9月分,10月分,11月分,12月分, 1月分, 2月分, 3月分, 4月分, 5月分,累計,執行率
"2023","0011000000","会議所クラブ","001","須賀川会議所クラブ","2","01000000","会費","1,065,000","0","0","0","480,000","465,000","55,000","4,000","0","0","0","0","0","0","0","1,004,000","94%"
"2023","0011000000","会議所クラブ","001","須賀川会議所クラブ","2","02000000","登録料","1,300,000","0","32,000","144,000","40,000","96,000","0","116,000","0","0","0","0","0","0","0","428,000","33%"
"2023","0011000000","会議所クラブ","001","須賀川会議所クラブ","2","03000000","雑収入","55,275","0","0","12,000","0","6,000","2","6,000","0","0","0","0","0","0","0","24,002","43%"
"2023","0011000000","会議所クラブ","001","須賀川会議所クラブ","2","04000000","繰越金","379,725","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0%"
"2023","0011000000","会議所クラブ","001","須賀川会議所クラブ","3","01000000","例会費","1,200,000","0","0","0","0","0","198,702","0","316,122","0","0","0","0","0","0","514,824","43%"
"2023","0011000000","会議所クラブ","001","須賀川会議所クラブ","3","02000000","会議費","850,000","0","0","54,087","246,132","66,000","0","79,618","0","0","0","0","0","0","0","445,837","52%"
"2023","0011000000","会議所クラブ","001","須賀川会議所クラブ","3","03000000","通信費","100,000","0","10,406","0","4,473","5,796","168","5,796","0","0","0","0","0","0","0","26,639","27%"
"2023","0011000000","会議所クラブ","001","須賀川会議所クラブ","3","04000000","委託費","350,000","0","0","0","0","0","350,000","0","0","0","0","0","0","0","0","350,000","100%"
"2023","0011000000","会議所クラブ","001","須賀川会議所クラブ","3","05000000","雑費","100,000","0","0","0","0","550","0","7,000","1,430","0","0","0","0","0","0","8,980","9%"
"2023","0011000000","会議所クラブ","001","須賀川会議所クラブ","3","06000000","事業費","200,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0%"
